Scopus ID,Title,Cover Date,Aggregation Type,Subtype
85164861339,Permanent magnet assisted synchronous reluctance motor: Analysis and design with rare earth free hybrid magnets,2024-08-20,Book,Book Chapter
85165120567,Machine learning techniques for VLSI chip design,2024-06-27,Book,Book
85165109909,Investigation of diabetic retinopathy level based on convolution neural network using fundus images,2024-06-27,Book,Book Chapter
85165097603,Anti-theft technology of museum cultural relics using RFID technology,2024-06-27,Book,Book Chapter
85165090599,IoT-based smart home security alert system for continuous supervision,2024-06-27,Book,Book Chapter
85165077764,Machine learning-based VLSI test and verification,2024-06-27,Book,Book Chapter
85165072145,Design and analysis of anti-poaching alert system for red sandalwood safety,2024-06-27,Book,Book Chapter
85165064617,Design of smart wheelchair with health monitoring system,2024-06-27,Book,Book Chapter
85165047873,A detailed roadmap from conventional-MOSFET to nanowire-MOSFET,2024-06-27,Book,Book Chapter
85165044050,Design challenges for machine/deep learning algorithms,2024-06-27,Book,Book Chapter
